cluster_id,cluster_global_name,global_description,hard_skills,soft_skills,nb_hard_skills,nb_soft_skills
14,Staff Data Scientist,"Develops and deploys scalable AI/ML solutions—including predictive models, LLM-powered interfaces, and agentic analytics—to enhance risk decisioning, productivity, and operational efficiency in high-impact business environments.","develop automated migration methods; conduct quality control analysis; manage key performance indicators of call centres; natural language processing; guide learners in using assistive technologies; deploy ICT systems; data engineering; ensure regulatory compliance in pipeline infrastructures; machine learning; operate open source software; e-commerce systems; design application interfaces; design automation components; validate biomedical analysis results; manage information sources; create data models; communicate analytical insights; ICT accessibility standards; deep learning; operate automated process control; engage with stakeholders; provide mentorship; statistical modeling techniques; interact with users to gather requirements; develop ICT workflow; mentor individual employees; utilise machine learning; assess reliability of data; artificial neural networks; perform risk analysis; data science; use query languages; manage workflow processes; monitor billing procedures; design user interface; implement data quality processes; build predictive models; integrate ICT data; use software libraries; provide input to collaborators to guide their work; align software with system architectures; ML (computer programming); analyse the credit history of potential customers; use databases; evaluate data, information and digital content; identify new business opportunities; apply statistical analysis techniques; communicate with stakeholders; manage project metrics; use data processing techniques; make data-driven decisions; track key performance indicators; apply basic programming skills; test system accessibility for users with special needs; SQL Server; apply research ethics and scientific integrity principles in research activities; define data quality criteria; provide technical expertise; design customer experiences; seek innovation in current practices; carry out strategic research; ensure cross-department cooperation; react to events in time-critical environments; data quality assessment; manage several projects; collaborate with engineers",consult with stakeholders on implementation of a production; critically evaluate information and its sources; assume responsibility; develop design ideas cooperatively; communicate professionally with colleagues in other fields; communicate performance aspects; develop product design; accept own accountability; listen actively; make independent operating decisions; handle tasks independently; cope with uncertainty; address problems critically; apply technical communication skills; think proactively; work independently; show professional responsibility; develop software prototype; manage feedback; synthesise information,66,20
15,Principal Software Engineer,"Drives architecture and development of AI/automation platforms (Zero-Touch Networking, GenAI) to solve global-scale challenges, optimizing infrastructure, supply chain decisions, and operational efficiency for large-scale enterprise environments.",provide technical expertise; service-oriented modelling; web services; implement cloud security and compliance; promote innovative infrastructure design; network engineering; design automation components; develop with cloud services; use scripting programming; systems development life-cycle; define software architecture; perform data analysis; DevOps; detect flaws in pipeline infrastructure; analyse network bandwidth requirements; integrate system components; align software with system architectures; build networks; analyse network configuration and performance; design cloud architecture; manage ICT virtualisation environments; use IT systems for commercial purposes; apply basic programming skills; cloud technologies; oversee development of software; use object-oriented programming; create solutions to problems; mentor individual employees; think analytically; lead a team; coordinate engineering teams; communicate with stakeholders; make data-driven decisions; ensure cross-department cooperation; collaborate with engineers; engage with stakeholders; provide mentorship,critically evaluate information and its sources; solve technical problems; coordinate communication within a team; manage engineering project; consider building constraints in architectural designs; apply technical communication skills; propose ICT solutions to business problems,37,7
16,Senior Data Professional,"Develops scalable data pipelines, transforms complex datasets into actionable insights, and builds data-driven solutions to optimize business decisions, fraud detection, and customer engagement in a fast-paced enterprise environment.","create designs for pipeline engineering; provide technical expertise; data analytics; design customer experiences; provide guidelines for content development; design ICT data architecture; data engineering; machine learning; data protection; carry out strategic research; report test findings; operate open source software; data models; develop with cloud services; create solutions to problems; design database in the cloud; communicate test results to other departments; business analytics; develop strategies for accessibility; create data models; data extraction, transformation and loading tools; draw conclusions from market research results; fraud detection; ICT accessibility standards; analyse customer service surveys; develop ICT workflow; perform data analysis; DevOps; utilise machine learning; data science; use query languages; cloud security and compliance; data quality assessment; manage workflow processes; business intelligence; analyse big data; collaborate with engineers; implement data quality processes; build predictive models; use software libraries; analyse business processes; translate requirement concepts into content; develop information standards; interpret business information; use databases; perform quality audits; implement data warehousing techniques; distributed computing; apply statistical analysis techniques; apply basic programming skills; analyse business requirements; cloud technologies; do cloud refactoring; deliver visual presentation of data; make data-driven decisions; communicate analytical insights; engage with stakeholders",communicate professionally with colleagues in other fields; develop strategy to solve problems; perform technically demanding tasks; cooperate with professionals; communicate with a non-scientific audience; accept own accountability; handle stressful situations in the work place; manage relationships with stakeholders; cooperate with colleagues; deal with challenging work conditions; develop investigation strategy; implement scientific decision making in healthcare; participatory decision-making,57,13
17,Senior Manager Data Science and Engineering,"Leads the transformation of large-scale data ecosystems into semantic layers to enable autonomous AI reasoning, bridging data engineering with AI/ML to drive agentic decision-making and enterprise-scale AI innovation.","knowledge base; design database scheme; lead a team; identify key processes of traceability systems; data engineering; machine learning; operate open source software; supervise work on design planning; data models; design database in the cloud; business analytics; manage a team; create data models; data extraction, transformation and loading tools; deep learning; automate cloud tasks; manage cloud data and storage; manage ICT data architecture; react to events in time-critical environments; SQL; utilise machine learning; create semantic trees; data science; use query languages; coordinate engineering teams; computer science; unified modelling language; data storage; manage workflow processes; manage prompt book; define organisational standards; computer engineering; distributed computing; evaluate data, information and digital content; Python (computer programming); manage ICT semantic integration; use object-oriented programming; database development tools; provide technical expertise; analyse supply chain trends; align efforts towards business development; translate requirement concepts into content; communicate with stakeholders; ensure cross-department cooperation; collaborate with engineers; align software with system architectures",analyse relation between supply chain improvement and profit; migrate existing data; perform product planning; plan medium to long term objectives; demonstrate curiosity; manage findable accessible interoperable and reusable data; apply technical communication skills; analyse supply chain strategies; show entrepreneurial spirit,46,9
18,Overnight Merchandising Lead,"Supervises overnight retail merchandising, including sales floor upkeep, team leadership, and policy compliance while driving customer service, inventory accuracy, and operational efficiency.",supervise food quality; oversee stock quality control; meet picking standards; operate forklift; maintain store cleanliness; keep records of merchandise delivery; supervise merchandise displays; provide training on quality management supervision; monitor proper product handling; supervise waste disposal; oversee logistics of finished products; follow procedures to control substances hazardous to health; supervise staff; monitor merchandise delivery; mentor individual employees; lead a team; communicate with stakeholders; ensure compliance with company regulations; ensure compliance with policies; provide mentorship; apply company policies; implement operational business plans,work in teams; coordinate communication within a team; encourage teambuilding; advise others; provide customer guidance on product selection; provide membership service; support service users to use technological aids; improve business processes; adapt to changing situations; lead others,22,10
19,Manager Data Stewardship,"Oversees financial reporting integrity by enforcing governance standards, managing master data lifecycle, and serving as a stakeholder liaison to enhance operational efficiency and mitigate risks.","use accounting systems; use databases; manage project changes; manage database; enforce financial policies; assess the life cycle of resources; manage standard enterprise resource planning system; manage cloud data and storage; manage financial and material resources; execute opening and closing procedures; ensure compliance with accounting conventions; organise information, objects and resources; maintain records of financial transactions; present arguments persuasively; communicate with stakeholders; engage with stakeholders; manage data, information and digital content",manage relationships with stakeholders; attend to detail; work in an organised manner,17,3
20,Principal Data Engineer,"Architects and evolves enterprise-scale data platforms to enable AI agents, copilots, and large-scale analytics, ensuring reliability and semantic clarity while setting technical standards for autonomous decision-making systems.","provide technical expertise; maintain database performance; seek innovation in current practices; data engineering; develop with cloud services; design database in the cloud; use software design patterns; create data models; design enterprise architecture; manage ICT data architecture; create semantic trees; data quality assessment; lead technology development of an organisation; deploy cloud resource; align software with system architectures; Java (computer programming); perform quality audits; evaluate data, information and digital content; Python (computer programming); manage ICT semantic integration; manage changes in ICT system; SQL Server; define data quality criteria; mentor individual employees; communicate with stakeholders; communicate analytical insights; engage with stakeholders; provide mentorship; provide input to collaborators to guide their work",examine engineering principles; negotiate with stakeholders; coordinate technical standards for global interoperability; business communication; apply technical communication skills,29,5
21,Senior Data Analyst Last Mile Delivery,"Analyzes real-time and historical delivery metrics to develop dashboards, support decision-making, and collaborate with stakeholders to optimize last-mile delivery performance through data-driven strategies.",use databases; deliver visual presentation of data; analyse supply chain trends; use query languages; carry out statistical forecasts; create data models; communicate with stakeholders; communicate analytical insights; business intelligence; analyse big data; build predictive models; analyse business requirements; perform data analysis; react to events in time-critical environments; think analytically; make data-driven decisions; ensure cross-department cooperation; engage with stakeholders,evaluate data; communicate with a non-scientific audience; collaborate in company's daily operations; communicate professionally with colleagues in other fields; deal with pressure from unexpected circumstances; adapt to changing situations; cope with challenging demands,18,7
22,Senior Data Analyst Market Research,"Deliver high-quality survey analytics for client projects, ensuring data integrity and methodological rigor while translating complex findings into actionable business insights.",data analytics; set quality assurance objectives; deliver visual presentation of data; process collected survey data; SAS language; apply statistical analysis techniques; define quality standards; communicate analytical insights; draw conclusions from market research results; design questionnaires; surveying methods; survey techniques; deliver business research proposals; research design; prepare visual data; define data quality criteria; create solutions to problems; give live presentation; think analytically,make independent operating decisions; use consulting techniques; conduct public surveys; cope with uncertainty; conduct quantitative research; adapt to changing situations; quantitative analysis,19,7
23,Director Tax Operations,"Leads global tax, earnings, and compliance operations for independent contractors, optimizing processes at the intersection of finance, technology, and the gig economy.",perform contract compliance audits; identify processes for re-engineering; continuous improvement philosophies; educate on data confidentiality; disseminate information on tax legislation; identify process improvements; operate automated process control; perform contract reporting and evaluation; comply with regulations related to export in different countries; manage contracts; communicate with stakeholders; engage with stakeholders,manage relationships with stakeholders; build community relations; develop staff,12,3
24,Senior Manager Finance,"Drives eCommerce fulfillment strategy by delivering data-driven financial insights, aligning cross-functional planning with executive goals to optimize business decisions.",deliver visual presentation of data; synthesise financial information; advise on market strategies; apply risk management processes; problem-solving with digital tools; develop business case; use microsoft office; visual presentation techniques; e-commerce systems; build predictive models; develop visual elements; collaborate through digital technologies; creatively use digital technologies; perform data analysis; make strategic business decisions; perform project management,manage relationships with stakeholders; attend to detail; provide cost benefit analysis reports; consider economic criteria in decision making; build business relationships; maintain work standards,16,6
25,Vision Center Manager,"Leads a retail vision center team, ensuring sales, customer service, and operational compliance while delivering quality eyewear and upholding company policies and ethical standards.","perform frames' repairs; evaluate data, information and digital content; make data-driven decisions; ensure compliance with company regulations; supervise merchandise displays; carry out inventory control accuracy; handle financial overviews of the store; maintain optical equipment; ensure price competitiveness; ensure compliance with safety legislation; check information on prescriptions; perform data analysis; provide training on quality management supervision; communicate with stakeholders; provide mentorship; adhere to organisational code of ethics",build community relations; follow company standards; demonstrate trustworthiness; abide by business ethical code of conducts; show impartiality; build business relationships; perform customer management; create a work atmosphere of continuous improvement; stimulate creativity in the team; demonstrate curiosity; gather feedback from employees; build trust; demonstrate willingness to learn; manage employee complaints; work within communities; promote the transfer of knowledge; handle customer complaints; ensure client orientation; integrate community outreach,16,19
26,Exterior Services Technician and DOT Operator,"Maintain and enhance outdoor spaces through landscaping and grounds upkeep, ensuring compliance with safety and regulatory standards while collaborating with a team.",driving examinations; obtain relevant licenses; make decisions regarding landscaping; use specialised equipment; operate specialised equipment in emergency; maintain work area cleanliness; apply sustainable tillage techniques; ensure compliance with environmental legislation; discern written communication; ensure ongoing compliance with regulations; operate material handling equipment; comply with regulations; perform ground maintenance activities; implement landscaping projects,work in a landscape team; manage ground maintenance; maintain turf and grass,14,3
27,Maintenance Operations Manager Ecommerce Logistics,"Oversee warehouse maintenance operations, ensuring regulatory compliance, optimizing equipment performance, and leading teams to drive operational improvements and uphold facility standards.",monitor financial accounts; warehouse operations; provide feedback on job performance; ensure equipment maintenance; evaluate performance of organisational collaborators; control of expenses; manage a team; maintain physical condition of warehouse; ensure compliance with environmental legislation; perform maintenance on installed equipment; collect financial data; perform data analysis; manage health and safety standards; maintain industrial equipment; communicate health and safety measures; operate material handling equipment; exert expenditure control; maintain mechanical equipment; ensure ongoing compliance with regulations; assess operating cost; ensure compliance with safety legislation; lead a team; manage corrective actions; engage with stakeholders; provide mentorship,manage relationships with stakeholders; create a work atmosphere of continuous improvement; demonstrate willingness to learn; identify clients' needs; coach employees; support managers; promote the transfer of knowledge; maintain relationship with customers; identify customer's needs; develop a coaching style,25,10
28,Manager Business Development,"Drives eCommerce growth by recruiting high-value sellers, designing acquisition strategies, and managing the full business development lifecycle from sourcing to onboarding.",market analysis; develop revenue generation strategies; think proactively to secure sales; advise on market strategies; align efforts towards business development; develop account strategy; analyse market financial trends; identify potential markets for companies; manage sales channels; initiate contact with sellers; achieve sales targets; communicate with stakeholders; engage with stakeholders,manage relationships with stakeholders; meet expectations of target audience; work in teams; build trust; encourage teambuilding; build business relationships; handle stressful situations in the work place; perform multiple tasks at the same time; build team spirit; provide self management support; cope with challenging demands; show initiative,13,12
29,Senior Marketing Manager Lifecycle Marketing,"Develops and executes lifecycle marketing strategies to drive advertiser growth, leveraging customer insights, performance analysis, and cross-functional collaboration to optimize advertiser journeys and business outcomes.","product life-cycle; use analytics for commercial purposes; execute marketing plan; use customer relationship management software; customer insight; communicate analytical insights; evaluate advertising campaign; analyse data about clients; track key performance indicators; utilise decision support system; analyse consumer buying trends; collaborate in the development of marketing strategies; perform data analysis; align efforts towards business development; evaluate data, information and digital content; present arguments persuasively",critically evaluate information and its sources; apply strategic thinking; cope with uncertainty; communicate problems to senior colleagues; communicate clearly with passengers,16,5
30,Fleet Development Facilitator,"Supports driver training programs by co-facilitating sessions, auditing compliance, developing content, and driving process improvements to ensure alignment with company standards and regional training center goals.",train employees; provide guidelines for content development; driver's license structure; obtain relevant licenses; participate as observer in different types of audits in the food sector; participate in training sessions; deliver online training; provide feedback to teachers; comply with schedule; evaluate training; content development processes; work with virtual learning environments; conduct content quality assurance; hazardous materials transportation; manage content development projects; provide ICT system training; monitor the use of resources in production; prepare audit schemes for ships; ensure ongoing compliance with regulations; integrate principles of training; mentor individual employees; provide feedback on job performance; provide training on quality management supervision; ensure compliance with policies; engage with stakeholders; provide mentorship; adhere to organisational code of ethics,manage relationships with stakeholders; motivate others; abide by business ethical code of conducts; build trust; motivate supporters; create a work atmosphere of continuous improvement; establish collaborative relations; stimulate creativity in the team; build business relationships; demonstrate curiosity; give constructive feedback,27,11
31,Power Equipment Operator,"Operate power equipment to manage warehouse logistics, maintain freight flow, and ensure quality control while adhering to safety and compliance standards.",operate warehouse materials; manage cargo handling; monitor packaging operations; warehouse operations; ensure quality control in packaging; stack empty pallets; oversee power equipment operation; inspect freight; ensure equipment maintenance; perform minor repairs to equipment; carry out checks of production plant equipment; operate material handling equipment,corporate social responsibility; corporate sustainability; abide by business ethical code of conducts; demonstrate willingness to learn; communicate verbal instructions; establish collaborative relations; communicate with customers; cooperate with colleagues; build business relationships; demonstrate curiosity,12,10
32,Principal Technical Program Manager,"Leads cross-functional software projects using AI, big data, and real-time analytics to innovate supply chain and customer experience solutions in dynamic environments.",use software design patterns; manage project information; manage project metrics; perform project management; manage several projects; Agile project management; advise on architectural matters; oversee development of software; align software with system architectures; design application interfaces; develop design concept; create solutions to problems; apply risk management processes,manage relationships with stakeholders; develop management plans; address an audience; build business relationships; interact with an audience; establish collaborative relations; establish daily priorities; apply change management; develop strategy to solve problems; implement strategic planning,13,10
33,Principal Incident Response Engineer,"Conducts simulated cyberattacks to identify vulnerabilities in infrastructure, develops offensive security tools, and collaborates with defense teams to strengthen Walmart’s security posture through research-driven red teaming campaigns.",develop code exploits; implement anti-virus software; investigate security issues; execute social engineering tests; use scripting programming,relate empathetically; demonstrate willingness to learn; adapt to change; communicate professionally with colleagues in other fields; adapt to changing situations; show empathy,5,6
34,Dynamic Defense Engineer,"Detects and neutralizes cyber threats through intelligence-driven strategies, collaborating with Security Operations, Response, and Information Security teams to strengthen enterprise security posture.",verify feasibility; identify suspicious behaviour; develop information security strategy; cyber attack counter-measures; apply digital security measures; ICT accessibility standards; provide improvement strategies; guide learners in using assistive technologies; test system accessibility for users with special needs; conduct threat intelligence; ensure cross-department cooperation; provide mentorship; develop strategies for accessibility,facilitate teamwork between students; encourage teambuilding; ensure infrastructure accessibility; promote inclusion,13,4
